time,open,high,low,close,volume
2025/2/6 18:32,1.0381,1.03815,1.0381,1.0381,94
2025/2/6 18:33,1.0381,1.0381,1.0379,1.0379,168
2025/2/6 18:34,1.03795,1.0381,1.03795,1.03805,123
2025/2/6 18:35,1.03805,1.03825,1.03805,1.0382,100
2025/2/6 18:36,1.0382,1.0382,1.03805,1.0381,95
2025/2/6 18:37,1.0381,1.0381,1.038,1.038,51
2025/2/6 18:38,1.038,1.038,1.03795,1.03795,60
2025/2/6 18:39,1.038,1.03805,1.038,1.038,51
2025/2/6 18:40,1.03805,1.03805,1.03785,1.03785,102
2025/2/6 18:41,1.03785,1.038,1.03775,1.03775,176
2025/2/6 18:42,1.0378,1.03785,1.0378,1.03785,41
2025/2/6 18:43,1.0378,1.0378,1.0376,1.0376,140
2025/2/6 18:44,1.03755,1.03755,1.03735,1.03755,151
2025/2/6 18:45,1.03755,1.03765,1.0375,1.03765,105
2025/2/6 18:46,1.0377,1.03785,1.0377,1.03785,102
2025/2/6 18:47,1.0379,1.0379,1.03785,1.03785,113
2025/2/6 18:48,1.0379,1.0379,1.0378,1.03785,33
2025/2/6 18:49,1.03775,1.0378,1.03775,1.0378,10
2025/2/6 18:50,1.03775,1.03775,1.03765,1.0377,42
2025/2/6 18:51,1.03775,1.0378,1.0377,1.0378,103
2025/2/6 18:52,1.0378,1.0378,1.03775,1.03775,17
2025/2/6 18:53,1.03775,1.0379,1.0377,1.03785,111
2025/2/6 18:54,1.03785,1.03795,1.0378,1.03785,103
2025/2/6 18:55,1.03785,1.0379,1.0378,1.0379,274
2025/2/6 18:56,1.0379,1.0379,1.03775,1.03785,277
2025/2/6 18:57,1.03785,1.03785,1.0378,1.0378,72
2025/2/6 18:58,1.0378,1.038,1.0378,1.03795,107
2025/2/6 18:59,1.0379,1.0381,1.0379,1.03805,152
2025/2/6 19:00,1.03805,1.0381,1.03785,1.03785,136
2025/2/6 19:01,1.03785,1.03795,1.03785,1.03795,52
2025/2/6 19:02,1.0379,1.03795,1.03785,1.03795,43
2025/2/6 19:03,1.0379,1.0379,1.03775,1.03775,213
2025/2/6 19:04,1.03775,1.03775,1.0376,1.0377,158
2025/2/6 19:05,1.0377,1.0379,1.0377,1.0379,120
2025/2/6 19:06,1.0379,1.0379,1.0378,1.0378,75
2025/2/6 19:07,1.03785,1.03785,1.0378,1.0378,63
2025/2/6 19:08,1.0378,1.0378,1.0377,1.03775,214
2025/2/6 19:09,1.03775,1.03795,1.03775,1.0378,125
2025/2/6 19:10,1.0378,1.0379,1.0378,1.03785,108
2025/2/6 19:11,1.0379,1.03805,1.0379,1.0379,395
2025/2/6 19:12,1.03785,1.0379,1.0378,1.03785,52
2025/2/6 19:13,1.03785,1.03785,1.0378,1.03785,36
2025/2/6 19:14,1.03785,1.0379,1.03775,1.0379,49
2025/2/6 19:15,1.03785,1.03795,1.0378,1.03795,97
2025/2/6 19:16,1.03795,1.03805,1.03795,1.03805,312
2025/2/6 19:17,1.03805,1.03825,1.03805,1.0382,154
2025/2/6 19:18,1.0382,1.03825,1.0381,1.0382,295
2025/2/6 19:19,1.0382,1.0384,1.0382,1.0384,231
2025/2/6 19:20,1.0384,1.03845,1.0383,1.0384,333
2025/2/6 19:21,1.0384,1.0384,1.03825,1.0384,176
2025/2/6 19:22,1.0384,1.03845,1.0384,1.03845,111
2025/2/6 19:23,1.03845,1.03855,1.03835,1.03835,110
2025/2/6 19:24,1.03835,1.03855,1.03835,1.03855,89
2025/2/6 19:25,1.0385,1.03855,1.03835,1.0384,172
2025/2/6 19:26,1.03835,1.03855,1.03835,1.03855,101
2025/2/6 19:27,1.0385,1.03855,1.03845,1.03845,66
2025/2/6 19:28,1.0385,1.03855,1.03845,1.03845,45
